Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
2005,20051,0200144,30,MILL OPERATION/PREPARATION PLANT,"255,343 ",0 ,498 
2005,20051,0200144,99,OFFICE WORKERS AT MINE SITE,"31,929 ",0 ,61 
2005,20052,0200144,03,"STRIP, QUARY, OPEN PIT","112,350 ",0 ,219 
2005,20052,0200144,30,MILL OPERATION/PREPARATION PLANT,"275,070 ",0 ,503 
2005,20052,0200144,99,OFFICE WORKERS AT MINE SITE,"32,100 ",0 ,66 
2005,20053,0200144,03,"STRIP, QUARY, OPEN PIT","120,368 ",0 ,213 
2005,20053,0200144,30,MILL OPERATION/PREPARATION PLANT,"254,669 ",0 ,501 
2005,20053,0200144,99,OFFICE WORKERS AT MINE SITE,"63,745 ",0 ,67 
2005,20054,0200144,03,"STRIP, QUARY, OPEN PIT","118,126 ",0 ,232 
2005,20054,0200144,30,MILL OPERATION/PREPARATION PLANT,"271,937 ",0 ,535 
2005,20054,0200144,99,OFFICE WORKERS AT MINE SITE,"19,102 ",0 ,71 
2004,20041,0200144,03,"STRIP, QUARY, OPEN PIT","93,466 ",0 ,182 
2004,20041,0200144,30,MILL OPERATION/PREPARATION PLANT,"196,581 ",0 ,443 
2004,20041,0200144,99,OFFICE WORKERS AT MINE SITE,"36,030 ",0 ,69 
2004,20042,0200144,03,"STRIP, QUARY, OPEN PIT","102,159 ",0 ,195 
2004,20042,0200144,30,MILL OPERATION/PREPARATION PLANT,"217,844 ",0 ,487 
2004,20042,0200144,99,OFFICE WORKERS AT MINE SITE,"39,588 ",0 ,77 
2004,20043,0200144,03,"STRIP, QUARY, OPEN PIT","110,434 ",0 ,204 
2004,20043,0200144,30,MILL OPERATION/PREPARATION PLANT,"236,689 ",0 ,496 
2004,20043,0200144,99,OFFICE WORKERS AT MINE SITE,"41,698 ",0 ,77 
2004,20044,0200144,03,"STRIP, QUARY, OPEN PIT","107,881 ",0 ,211 
2004,20044,0200144,30,MILL OPERATION/PREPARATION PLANT,"219,717 ",0 ,469 
2004,20044,0200144,99,OFFICE WORKERS AT MINE SITE,"50,350 ",0 ,88 
2003,20031,0200144,03,"STRIP, QUARY, OPEN PIT","65,189 ",0 ,126 
2003,20031,0200144,30,MILL OPERATION/PREPARATION PLANT,"159,704 ",0 ,324 
2003,20031,0200144,99,OFFICE WORKERS AT MINE SITE,"35,445 ",0 ,50 
2003,20032,0200144,03,"STRIP, QUARY, OPEN PIT","74,640 ",0 ,138 
2003,20032,0200144,30,MILL OPERATION/PREPARATION PLANT,"177,977 ",0 ,335 
2003,20032,0200144,99,OFFICE WORKERS AT MINE SITE,"27,876 ",0 ,58 
2003,20033,0200144,03,"STRIP, QUARY, OPEN PIT","81,651 ",0 ,155 
2003,20033,0200144,30,MILL OPERATION/PREPARATION PLANT,"176,834 ",0 ,362 
2003,20033,0200144,99,OFFICE WORKERS AT MINE SITE,"39,687 ",0 ,58 
2003,20034,0200144,03,"STRIP, QUARY, OPEN PIT","84,872 ",0 ,163 
2003,20034,0200144,30,MILL OPERATION/PREPARATION PLANT,"178,737 ",0 ,376 
2003,20034,0200144,99,OFFICE WORKERS AT MINE SITE,"37,842 ",0 ,58 
2002,20021,0200144,03,"STRIP, QUARY, OPEN PIT","56,001 ",,118 
2002,20021,0200144,30,MILL OPERATION/PREPARATION PLANT,"151,302 ",,333 
2002,20021,0200144,99,OFFICE WORKERS AT MINE SITE,"34,947 ",,44 
2002,20022,0200144,03,"STRIP, QUARY, OPEN PIT","56,473 ",,116 
2002,20022,0200144,30,MILL OPERATION/PREPARATION PLANT,"152,135 ",,334 
2002,20022,0200144,99,OFFICE WORKERS AT MINE SITE,"36,535 ",,46 
2002,20023,0200144,03,"STRIP, QUARY, OPEN PIT","64,576 ",,123 
2002,20023,0200144,30,MILL OPERATION/PREPARATION PLANT,"164,204 ",,334 
2002,20023,0200144,99,OFFICE WORKERS AT MINE SITE,"40,372 ",,50 
2002,20024,0200144,03,"STRIP, QUARY, OPEN PIT","60,967 ",,122 
2002,20024,0200144,30,MILL OPERATION/PREPARATION PLANT,"157,269 ",,331 
2002,20024,0200144,99,OFFICE WORKERS AT MINE SITE,"35,713 ",,49 
2001,20011,0200144,03,"STRIP, QUARY, OPEN PIT","112,670 ",,244 
2001,20011,0200144,30,MILL OPERATION/PREPARATION PLANT,"189,725 ",,420 
2001,20011,0200144,99,OFFICE WORKERS AT MINE SITE,"46,395 ",,55 
2001,20012,0200144,03,"STRIP, QUARY, OPEN PIT","127,114 ",,252 
2001,20012,0200144,30,MILL OPERATION/PREPARATION PLANT,"215,371 ",,426 
2001,20012,0200144,99,OFFICE WORKERS AT MINE SITE,"44,893 ",,54 
2001,20013,0200144,03,"STRIP, QUARY, OPEN PIT","92,951 ",,230 
2001,20013,0200144,30,MILL OPERATION/PREPARATION PLANT,"173,004 ",,420 
2001,20013,0200144,99,OFFICE WORKERS AT MINE SITE,"44,888 ",,51 
2001,20014,0200144,03,"STRIP, QUARY, OPEN PIT","122,201 ",,229 
2001,20014,0200144,30,MILL OPERATION/PREPARATION PLANT,"213,843 ",,411 
2001,20014,0200144,99,OFFICE WORKERS AT MINE SITE,"43,642 ",,48 
2000,20001,0200144,03,"STRIP, QUARY, OPEN PIT","133,372 ",,245 
2000,20001,0200144,30,MILL OPERATION/PREPARATION PLANT,"215,996 ",,417 
2000,20001,0200144,99,OFFICE WORKERS AT MINE SITE,"47,098 ",,54 
2000,20002,0200144,03,"STRIP, QUARY, OPEN PIT","124,894 ",,246 
2000,20002,0200144,30,MILL OPERATION/PREPARATION PLANT,"221,904 ",,426 
2000,20002,0200144,99,OFFICE WORKERS AT MINE SITE,"29,123 ",,56 
2000,20003,0200144,03,"STRIP, QUARY, OPEN PIT","130,049 ",,248 
2000,20003,0200144,30,MILL OPERATION/PREPARATION PLANT,"231,017 ",,431 
2000,20003,0200144,99,OFFICE WORKERS AT MINE SITE,"30,659 ",,56 
2000,20004,0200144,03,"STRIP, QUARY, OPEN PIT","118,812 ",,244 
2000,20004,0200144,30,MILL OPERATION/PREPARATION PLANT,"196,445 ",,417 
2000,20004,0200144,99,OFFICE WORKERS AT MINE SITE,"43,192 ",,52 
1999,19991,0200144,03,"STRIP, QUARY, OPEN PIT","121,182 ",,240 
1999,19991,0200144,30,MILL OPERATION/PREPARATION PLANT,"211,005 ",,406 
1999,19991,0200144,99,OFFICE WORKERS AT MINE SITE,"22,410 ",,50 
1999,19992,0200144,03,"STRIP, QUARY, OPEN PIT","117,162 ",,239 
1999,19992,0200144,30,MILL OPERATION/PREPARATION PLANT,"205,546 ",,401 
1999,19992,0200144,99,OFFICE WORKERS AT MINE SITE,"23,267 ",,49 
1999,19993,0200144,03,"STRIP, QUARY, OPEN PIT","120,114 ",,238 
1999,19993,0200144,30,MILL OPERATION/PREPARATION PLANT,"205,970 ",,430 
1999,19993,0200144,99,OFFICE WORKERS AT MINE SITE,"25,149 ",,55 
1999,19994,0200144,03,"STRIP, QUARY, OPEN PIT","113,415 ",,247 
1999,19994,0200144,30,MILL OPERATION/PREPARATION PLANT,"195,443 ",,405 
1999,19994,0200144,99,OFFICE WORKERS AT MINE SITE,"24,964 ",,56 
1998,19981,0200144,03,"STRIP, QUARY, OPEN PIT","149,724 ",,262 
1998,19981,0200144,30,MILL OPERATION/PREPARATION PLANT,"239,697 ",,438 
1998,19981,0200144,99,OFFICE WORKERS AT MINE SITE,"27,754 ",,55 
1998,19982,0200144,03,"STRIP, QUARY, OPEN PIT","177,849 ",,260 
1998,19982,0200144,30,MILL OPERATION/PREPARATION PLANT,"282,911 ",,436 
1998,19982,0200144,99,OFFICE WORKERS AT MINE SITE,"26,755 ",,54 
1998,19983,0200144,03,"STRIP, QUARY, OPEN PIT","141,597 ",,254 
1998,19983,0200144,30,MILL OPERATION/PREPARATION PLANT,"228,154 ",,434 
1998,19983,0200144,99,OFFICE WORKERS AT MINE SITE,"25,298 ",,53 
