Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.
2003,20033,0200150,30,MILL OPERATION/PREPARATION PLANT,"49,031 ",0 ,90 
2003,20033,0200150,99,OFFICE WORKERS AT MINE SITE,"5,039 ",0 ,10 
2003,20034,0200150,03,"STRIP, QUARY, OPEN PIT","210,122 ",0 ,449 
2003,20034,0200150,30,MILL OPERATION/PREPARATION PLANT,"41,984 ",0 ,76 
2003,20034,0200150,99,OFFICE WORKERS AT MINE SITE,"5,127 ",0 ,14 
2002,20021,0200150,03,"STRIP, QUARY, OPEN PIT","298,050 ",,606 
2002,20021,0200150,30,MILL OPERATION/PREPARATION PLANT,"125,494 ",,239 
2002,20021,0200150,99,OFFICE WORKERS AT MINE SITE,"25,147 ",,48 
2002,20022,0200150,03,"STRIP, QUARY, OPEN PIT","324,650 ",,577 
2002,20022,0200150,30,MILL OPERATION/PREPARATION PLANT,"136,955 ",,251 
2002,20022,0200150,99,OFFICE WORKERS AT MINE SITE,"25,210 ",,46 
2002,20023,0200150,03,"STRIP, QUARY, OPEN PIT","247,703 ",,454 
2002,20023,0200150,30,MILL OPERATION/PREPARATION PLANT,"133,048 ",,230 
2002,20023,0200150,99,OFFICE WORKERS AT MINE SITE,"23,151 ",,41 
2002,20024,0200150,03,"STRIP, QUARY, OPEN PIT","258,429 ",,520 
2002,20024,0200150,30,MILL OPERATION/PREPARATION PLANT,"117,015 ",,224 
2002,20024,0200150,99,OFFICE WORKERS AT MINE SITE,"22,138 ",,34 
2001,20011,0200150,03,"STRIP, QUARY, OPEN PIT","336,886 ",,659 
2001,20011,0200150,30,MILL OPERATION/PREPARATION PLANT,"141,031 ",,274 
2001,20011,0200150,99,OFFICE WORKERS AT MINE SITE,"31,238 ",,60 
2001,20012,0200150,03,"STRIP, QUARY, OPEN PIT","336,345 ",,666 
2001,20012,0200150,30,MILL OPERATION/PREPARATION PLANT,"141,922 ",,275 
2001,20012,0200150,99,OFFICE WORKERS AT MINE SITE,"31,743 ",,63 
2001,20013,0200150,03,"STRIP, QUARY, OPEN PIT","327,025 ",,642 
2001,20013,0200150,30,MILL OPERATION/PREPARATION PLANT,"133,293 ",,259 
2001,20013,0200150,99,OFFICE WORKERS AT MINE SITE,"29,459 ",,58 
2001,20014,0200150,03,"STRIP, QUARY, OPEN PIT","310,666 ",,615 
2001,20014,0200150,30,MILL OPERATION/PREPARATION PLANT,"124,052 ",,240 
2001,20014,0200150,99,OFFICE WORKERS AT MINE SITE,"26,806 ",,51 
2000,20001,0200150,03,"STRIP, QUARY, OPEN PIT","326,421 ",,632 
2000,20001,0200150,30,MILL OPERATION/PREPARATION PLANT,"141,587 ",,270 
2000,20001,0200150,99,OFFICE WORKERS AT MINE SITE,"41,400 ",,79 
2000,20002,0200150,03,"STRIP, QUARY, OPEN PIT","321,011 ",,627 
2000,20002,0200150,30,MILL OPERATION/PREPARATION PLANT,"143,360 ",,270 
2000,20002,0200150,99,OFFICE WORKERS AT MINE SITE,"39,153 ",,74 
2000,20003,0200150,03,"STRIP, QUARY, OPEN PIT","327,483 ",,627 
2000,20003,0200150,30,MILL OPERATION/PREPARATION PLANT,"146,086 ",,272 
2000,20003,0200150,99,OFFICE WORKERS AT MINE SITE,"35,120 ",,69 
2000,20004,0200150,03,"STRIP, QUARY, OPEN PIT","327,321 ",,628 
2000,20004,0200150,30,MILL OPERATION/PREPARATION PLANT,"141,390 ",,269 
2000,20004,0200150,99,OFFICE WORKERS AT MINE SITE,"33,971 ",,65 
1999,19991,0200150,03,"STRIP, QUARY, OPEN PIT","357,867 ",,721 
1999,19991,0200150,30,MILL OPERATION/PREPARATION PLANT,"136,732 ",,261 
1999,19991,0200150,99,OFFICE WORKERS AT MINE SITE,"49,891 ",,96 
1999,19992,0200150,03,"STRIP, QUARY, OPEN PIT","336,026 ",,685 
1999,19992,0200150,30,MILL OPERATION/PREPARATION PLANT,"137,800 ",,261 
1999,19992,0200150,99,OFFICE WORKERS AT MINE SITE,"42,775 ",,83 
1999,19993,0200150,03,"STRIP, QUARY, OPEN PIT","324,450 ",,643 
1999,19993,0200150,30,MILL OPERATION/PREPARATION PLANT,"138,968 ",,262 
1999,19993,0200150,99,OFFICE WORKERS AT MINE SITE,"42,180 ",,83 
1999,19994,0200150,03,"STRIP, QUARY, OPEN PIT","325,806 ",,633 
1999,19994,0200150,30,MILL OPERATION/PREPARATION PLANT,"141,594 ",,265 
1999,19994,0200150,99,OFFICE WORKERS AT MINE SITE,"43,106 ",,82 
1998,19981,0200150,03,"STRIP, QUARY, OPEN PIT","422,043 ",,840 
1998,19981,0200150,30,MILL OPERATION/PREPARATION PLANT,"140,700 ",,265 
1998,19981,0200150,99,OFFICE WORKERS AT MINE SITE,"54,332 ",,106 
1998,19982,0200150,03,"STRIP, QUARY, OPEN PIT","413,089 ",,823 
1998,19982,0200150,30,MILL OPERATION/PREPARATION PLANT,"144,318 ",,268 
1998,19982,0200150,99,OFFICE WORKERS AT MINE SITE,"54,902 ",,105 
1998,19983,0200150,03,"STRIP, QUARY, OPEN PIT","399,998 ",,794 
1998,19983,0200150,30,MILL OPERATION/PREPARATION PLANT,"139,649 ",,262 
1998,19983,0200150,99,OFFICE WORKERS AT MINE SITE,"54,674 ",,105 
1998,19984,0200150,03,"STRIP, QUARY, OPEN PIT","365,645 ",,733 
1998,19984,0200150,30,MILL OPERATION/PREPARATION PLANT,"138,129 ",,257 
1998,19984,0200150,99,OFFICE WORKERS AT MINE SITE,"52,047 ",,100 
1997,19971,0200150,03,"STRIP, QUARY, OPEN PIT","422,092 ",,832 
1997,19971,0200150,30,MILL OPERATION/PREPARATION PLANT,"125,807 ",,241 
1997,19971,0200150,99,OFFICE WORKERS AT MINE SITE,"55,964 ",,106 
1997,19972,0200150,03,"STRIP, QUARY, OPEN PIT","434,112 ",,843 
1997,19972,0200150,30,MILL OPERATION/PREPARATION PLANT,"138,914 ",,260 
1997,19972,0200150,99,OFFICE WORKERS AT MINE SITE,"58,829 ",,118 
1997,19973,0200150,03,"STRIP, QUARY, OPEN PIT","449,899 ",,872 
1997,19973,0200150,30,MILL OPERATION/PREPARATION PLANT,"148,711 ",,273 
1997,19973,0200150,99,OFFICE WORKERS AT MINE SITE,"60,275 ",,119 
1997,19974,0200150,03,"STRIP, QUARY, OPEN PIT","444,549 ",,857 
1997,19974,0200150,30,MILL OPERATION/PREPARATION PLANT,"147,125 ",,271 
1997,19974,0200150,99,OFFICE WORKERS AT MINE SITE,"56,910 ",,112 
1996,19961,0200150,03,"STRIP, QUARY, OPEN PIT","416,504 ",,830 
1996,19961,0200150,30,MILL OPERATION/PREPARATION PLANT,"163,198 ",,299 
1996,19961,0200150,99,OFFICE WORKERS AT MINE SITE,"58,957 ",,112 
1996,19962,0200150,03,"STRIP, QUARY, OPEN PIT","429,013 ",,841 
1996,19962,0200150,30,MILL OPERATION/PREPARATION PLANT,"165,599 ",,306 
1996,19962,0200150,99,OFFICE WORKERS AT MINE SITE,"61,957 ",,120 
