Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
20033,0200024,30,MILL OPERATION/PREPARATION PLANT,"465,908 ",0 ,"1,025 "
20033,0200024,99,OFFICE WORKERS AT MINE SITE,"9,240 ",0 ,20 
20033,0200024,Total,,"1,021,411 ",0 ,"2,070 "
20032,0200024,03,"STRIP, QUARY, OPEN PIT","610,500 ",0 ,"1,027 "
20032,0200024,30,MILL OPERATION/PREPARATION PLANT,"533,798 ",0 ,"1,026 "
20032,0200024,99,OFFICE WORKERS AT MINE SITE,"10,454 ",0 ,20 
20032,0200024,Total,,"1,154,752 ",0 ,"2,073 "
20031,0200024,03,"STRIP, QUARY, OPEN PIT","534,533 ",0 ,"1,025 "
20031,0200024,30,MILL OPERATION/PREPARATION PLANT,"459,724 ",0 ,"1,025 "
20031,0200024,99,OFFICE WORKERS AT MINE SITE,"8,415 ",0 ,20 
20031,0200024,Total,,"1,002,672 ",0 ,"2,070 "
20024,0200024,03,"STRIP, QUARY, OPEN PIT","630,179 ",,"1,042 "
20024,0200024,30,MILL OPERATION/PREPARATION PLANT,"543,440 ",,"1,041 "
20024,0200024,99,OFFICE WORKERS AT MINE SITE,"10,708 ",,20 
20024,0200024,Total,,"1,184,327 ",,"2,103 "
20023,0200024,03,"STRIP, QUARY, OPEN PIT","580,783 ",,"1,056 "
20023,0200024,30,MILL OPERATION/PREPARATION PLANT,"467,042 ",,"1,055 "
20023,0200024,99,OFFICE WORKERS AT MINE SITE,"8,963 ",,20 
20023,0200024,Total,,"1,056,788 ",,"2,131 "
20022,0200024,03,"STRIP, QUARY, OPEN PIT","642,435 ",,"1,056 "
20022,0200024,30,MILL OPERATION/PREPARATION PLANT,"524,475 ",,"1,056 "
20022,0200024,99,OFFICE WORKERS AT MINE SITE,"9,696 ",,20 
20022,0200024,Total,,"1,176,606 ",,"2,132 "
20021,0200024,03,"STRIP, QUARY, OPEN PIT","565,658 ",,"1,070 "
20021,0200024,30,MILL OPERATION/PREPARATION PLANT,"467,133 ",,"1,069 "
20021,0200024,99,OFFICE WORKERS AT MINE SITE,"7,523 ",,20 
20021,0200024,Total,,"1,040,314 ",,"2,159 "
20014,0200024,03,"STRIP, QUARY, OPEN PIT","841,086 ",,"1,127 "
20014,0200024,30,MILL OPERATION/PREPARATION PLANT,"505,640 ",,"1,126 "
20014,0200024,99,OFFICE WORKERS AT MINE SITE,"7,463 ",,20 
20014,0200024,Total,,"1,354,189 ",,"2,273 "
20013,0200024,03,"STRIP, QUARY, OPEN PIT","855,650 ",,"1,132 "
20013,0200024,30,MILL OPERATION/PREPARATION PLANT,"515,175 ",,"1,131 "
20013,0200024,99,OFFICE WORKERS AT MINE SITE,"7,415 ",,20 
20013,0200024,Total,,"1,378,240 ",,"2,283 "
20012,0200024,03,"STRIP, QUARY, OPEN PIT","927,683 ",,"1,182 "
20012,0200024,30,MILL OPERATION/PREPARATION PLANT,"571,868 ",,"1,182 "
20012,0200024,99,OFFICE WORKERS AT MINE SITE,"9,868 ",,20 
20012,0200024,Total,,"1,509,419 ",,"2,384 "
20011,0200024,03,"STRIP, QUARY, OPEN PIT","787,473 ",,"1,206 "
20011,0200024,30,MILL OPERATION/PREPARATION PLANT,"595,872 ",,"1,207 "
20011,0200024,99,OFFICE WORKERS AT MINE SITE,"10,422 ",,20 
20011,0200024,Total,,"1,393,767 ",,"2,433 "
20004,0200024,03,"STRIP, QUARY, OPEN PIT","561,925 ",,"1,204 "
