Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
2003,20033,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2003,20033,0201049,30,MILL OPERATION/PREPARATION PLANT,"31,364 ",0 ,60 
2003,20033,0201049,99,OFFICE WORKERS AT MINE SITE,"8,580 ",0 ,18 
2003,20034,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,0 ,0 
2003,20034,0201049,30,MILL OPERATION/PREPARATION PLANT,"28,013 ",0 ,61 
2003,20034,0201049,99,OFFICE WORKERS AT MINE SITE,"8,161 ",0 ,18 
2002,20021,0201049,30,MILL OPERATION/PREPARATION PLANT,"30,897 ",,66 
2002,20021,0201049,99,OFFICE WORKERS AT MINE SITE,"10,121 ",,22 
2002,20022,0201049,30,MILL OPERATION/PREPARATION PLANT,"31,916 ",,66 
2002,20022,0201049,99,OFFICE WORKERS AT MINE SITE,"9,168 ",,21 
2002,20023,0201049,30,MILL OPERATION/PREPARATION PLANT,"29,949 ",,64 
2002,20023,0201049,99,OFFICE WORKERS AT MINE SITE,"4,688 ",,10 
2002,20024,0201049,30,MILL OPERATION/PREPARATION PLANT,"26,951 ",,59 
2002,20024,0201049,99,OFFICE WORKERS AT MINE SITE,"6,693 ",,17 
2001,20011,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,,0 
2001,20011,0201049,30,MILL OPERATION/PREPARATION PLANT,"51,166 ",,100 
2001,20011,0201049,99,OFFICE WORKERS AT MINE SITE,"11,834 ",,28 
2001,20012,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,,0 
2001,20012,0201049,30,MILL OPERATION/PREPARATION PLANT,"54,289 ",,99 
2001,20012,0201049,99,OFFICE WORKERS AT MINE SITE,"12,219 ",,27 
2001,20013,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,,0 
2001,20013,0201049,30,MILL OPERATION/PREPARATION PLANT,"36,902 ",,98 
2001,20013,0201049,99,OFFICE WORKERS AT MINE SITE,"12,387 ",,27 
2001,20014,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,,0 
2001,20014,0201049,30,MILL OPERATION/PREPARATION PLANT,"30,605 ",,66 
2001,20014,0201049,99,OFFICE WORKERS AT MINE SITE,"12,088 ",,26 
2000,20001,0201049,03,"STRIP, QUARY, OPEN PIT","10,256 ",,23 
2000,20001,0201049,30,MILL OPERATION/PREPARATION PLANT,"39,108 ",,75 
2000,20001,0201049,99,OFFICE WORKERS AT MINE SITE,"16,065 ",,32 
