ActivityMediaSubdivisionName,,ActivityStartDate,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.83,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.83,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.83,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.84,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.84,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.84,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.85,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.85,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.85,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.85,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.85,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.86,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.86,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.86,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.86,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.86,None,
Water,,2021-10-24,GLEC-SRSAG-A,33.5675,-111.536389,,,,pH,,7.86,None,
Water,Surface Water,2020-04-15,AZDEQ_SW-192,31.4986111,-110.8480556,Unknown,AZDEQ_SW,Unknown,pH,Total,7.87,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.87,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.87,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.87,None,
Water,,2021-10-12,GLEC-SRROO-A,33.676944,-111.154167,,,,pH,,7.87,None,
Water,Surface Water,2020-06-12,AZDEQ_SW-71,34.3344444,-110.9369444,Unknown,AZDEQ_SW,Unknown,pH,Total,7.88,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.88,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.88,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.88,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.88,None,
Water,,2021-03-23,UTAHDWQ_WQX-5952430,36.95498,-111.48376,DWQ-001,UTAHDWQ_WQX,Water Grab Sampling,pH,,7.88,None,
