,ActivityMediaSubdivisionName,ActivityStartDate,MonitoringLocationIdentifier,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue
1278,,2020-02-25,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,19.3
1279,,2020-02-25,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,19.3
1221,,2021-09-23,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,21.2
1223,,2021-09-23,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,21.1
2005,,2021-09-23,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,0.049
2006,,2021-09-23,USEPA_REGION8-CGCLR713.70,36.921667,-111.483611,Magnesium,0.049
1309,Surface Water,2020-01-21,USGS-09380000,,,Magnesium,18.0
1302,Surface Water,2020-02-03,USGS-09380000,,,Magnesium,18.9
1251,Surface Water,2020-02-18,USGS-09380000,,,Magnesium,20.0
1222,Surface Water,2020-03-11,USGS-09380000,,,Magnesium,21.1
1205,Surface Water,2020-03-25,USGS-09380000,,,Magnesium,21.7
1220,Surface Water,2020-04-14,USGS-09380000,,,Magnesium,21.2
1241,Surface Water,2020-05-06,USGS-09380000,,,Magnesium,20.5
1269,Surface Water,2020-05-19,USGS-09380000,,,Magnesium,19.7
1276,Surface Water,2020-06-16,USGS-09380000,,,Magnesium,19.3
1280,Surface Water,2020-07-28,USGS-09380000,,,Magnesium,19.2
1304,Surface Water,2020-08-25,USGS-09380000,,,Magnesium,18.5
1274,Surface Water,2020-10-07,USGS-09380000,,,Magnesium,19.3
1275,Surface Water,2020-11-10,USGS-09380000,,,Magnesium,19.3
1268,Surface Water,2020-12-17,USGS-09380000,,,Magnesium,19.8
